country_year	iso_code	country	year	co2_per_capita	Birth_rate	agriculture_land	agriculture_value_added	alternative_energy	arable_land	export	forest	fossil_fuel	gdp	industry	mortality	natural_resources	renewable_energy	unemployment	import
Angola - 2003	AGO	Angola	2003	0.496	47.786	39.0042295660544	6.19838433868839	1.02834621251151	2.6469880484479	54.3213373807344	60.9957704339456	31.7214241193656	982.96100777685	53.1169963887799	183.2	24.0487652730738	65.1404037475586	3.88	49.5798894342136
Angola - 2004	AGO	Angola	2004	0.997	47.639	39.4494537579209	6.25087653552132	1.17859321777103	2.6469880484479	58.3803455316586	60.5505462420791	31.5616371865686	1255.56451325546	54.6299213113549	174.6	40.1937000895514	61.915699005127	3.85	45.1995788304369
Angola - 2005	AGO	Angola	2005	0.978	47.453	39.8946779497874	5.06040294790886	1.60962521879031	2.6469880484479	65.5262677696291	60.1053220502126	27.0837714677975	1902.42214975937	60.4019934569532	165.6	45.827184638968	68.378303527832	3.81	41.0646943598961
Angola - 2006	AGO	Angola	2006	1.097	47.215	40.339902141654	5.19128018876127	2.06296853414897	2.6469880484479	63.4678635039226	59.660097858346	31.6746743551437	2599.56594793067	58.109331166465	156.2	43.4900453272377	62.1273002624512	3.73	31.1572958281252
Angola - 2007	AGO	Angola	2007	1.195	46.92	40.7851263335205	5.24227833734658	1.77695738478429	2.72719980749178	67.9057833724671	59.2148736664795	34.742475817209296	3121.99608528081	61.8835378515421	146.8	46.2790119276714	58.4916000366211	3.66	40.1542845215112
Angola - 2008	AGO	Angola	2008	1.175	46.563	41.230350525387	4.80533931673356	2.14597187989868	2.72719980749178	72.475028472181	58.769649474613	37.9607595728901	4080.94103372417	60.2548201250717	137.4	55.85217033437	54.8820991516113	3.63	48.8896794334592
Angola - 2009	AGO	Angola	2009	1.224	46.143	41.6755747172536	6.62119707047771	1.94943331072076	3.20847036175503	58.7573030189496	58.3244252827465	41.7993312438043	3122.7815987074	44.0563761691749	128.6	30.7324986773529	52.4138984680176	3.78	63.6888393251959
Angola - 2010	AGO	Angola	2010	1.236	45.656	42.1207989091201	6.18029318057362	2.2507551575993	3.28868212079891	61.5431127231538	57.8792010908799	42.9925150346511	3587.88364462837	52.3684348885467	120.3	40.1424639055475	50.7648010253906	9.43	42.5805172359653
Angola - 2011	AGO	Angola	2011	1.252	45.102	42.5660239031042	5.84568096888111	2.35230222680668	3.76995267506216	60.6699484390186	57.4339760968958	43.8497838995534	4615.46821863819	56.026514743024	112.3	41.153694331148	49.239200592041	7.36	39.3125594147723
Argentina - 2000	ARG	Argentina	2000	3.861	19.499	46.9581867146078	4.67991094417297	6.0313990866804	10.0997920845985	10.9863752325576	12.1964855354461	88.3875102923294	7708.09911454041	25.9908360111364	19.6	2.28997359107989	9.84799957275391	15	11.6360695451767
Argentina - 2001	ARG	Argentina	2001	3.595	19.328	46.9932655872605	4.56858960891786	7.74526183010186	10.1385250064859	11.5790080825317	12.0808714176615	85.9945441146675	7208.37311355372	25.2434339827333	19	1.93476101225087	11.5088996887207	17.32	10.2732473690136
Argentina - 2002	ARG	Argentina	2002	3.301	19.175	47.031267699301	10.2066467144411	7.41157902841799	10.180911977608	28.3825969991682	11.9652572998769	85.8034079487598	2593.404563368	30.5577370913046	18.3	5.82983445195864	11.6190996170044	19.59	13.370127359396
Argentina - 2003	ARG	Argentina	2003	3.535	19.026	47.8254753004542	10.328166939117	7.42549695428083	10.4810921222353	25.9309429264224	11.8496431820922	86.0147138119322	3349.80630031036	32.6450990996503	17.7	5.13347387294248	10.8246002197266	15.36	14.7138051046861
Argentina - 2004	ARG	Argentina	2004	4.08	18.879	49.0903244430315	8.36248661002826	6.43983830099847	11.2453365196643	23.8476194239892	11.7340290643076	89.3249676255497	4277.72157290954	28.816922006834	17.1	4.95878052744052	9.28870010375977	13.52	16.8450266849578
Argentina - 2005	ARG	Argentina	2005	4.151	18.735	50.3518849412977	7.93875427420938	6.42423543130273	12.0209084697207	23.2458767338576	11.618414946523	89.0532841465512	5109.85224490403	28.6263140439084	16.5	5.76067210584928	9.64350032806396	11.51	17.3053942367662
Argentina - 2006	ARG	Argentina	2006	4.444	18.596	51.5600963207378	6.93557229126392	6.77059104688404	12.7358232024818	23.0266946038115	11.5028008287384	88.653227962763	5919.01233837714	29.2032796652469	16.1	6.13595879733276	9.180100440979	10.08	17.4067852681036
Argentina - 2007	ARG	Argentina	2007	4.391	18.469	52.6303673415696	7.45235394606923	5.77486785614744	13.3127975766345	22.6627503115066	11.3871867109537	89.2253784916497	7245.44685667197	27.4152361334783	15.7	4.9958129221275	7.71659994125366	8.47	18.2824203070644
Argentina - 2008	ARG	Argentina	2008	4.693	18.355	52.7136796641198	7.3189545972436	5.42888057039713	12.8845430063325	22.0609003826242	11.2715725931691	90.6517893541905	9020.87332314274	26.2724599395946	15.3	5.03882737060656	7.65110015869141	7.84	18.341772996414
Argentina - 2009	ARG	Argentina	2009	4.42	18.252	52.5423047550143	5.2736234689014	6.18534160257561	12.530465635494	19.5609850560818	11.1559584753845	89.6119931478185	8225.13758261645	25.2842047993735	14.9	3.06935720640562	8.59099960327148	8.65	14.4961418494061
Argentina - 2010	ARG	Argentina	2010	4.566	18.154	53.8902835176801	7.13216745078964	5.68326959017728	13.8784443981598	18.9338234053709	11.0403443575999	89.503243212831	10385.9644319555	25.2587762576722	14.4	3.32939489437655	8.78750038146973	7.71	16.0371898581987
Argentina - 2011	ARG	Argentina	2011	4.605	18.055	54.1826074564529	6.99873377022519	5.85903880132898	14.1707683369326	18.4492091453155	10.9587128976976	88.8538111244916	12848.8641969705	25.2126976058843	13.9	3.70819085096924	8.83310031890869	7.18	16.7569458546489
Australia - 2000	AUS	Australia	2000	18.525	13	59.2881038230738	3.11490323731114	1.18307781435353	3.05546516017339	19.4181242273946	17.1581557606446	89.328168190023	21697.7084797731	24.5903868996346	6.2	2.85648379979069	8.42399978637695	6.28	21.5759790365138
Australia - 2001	AUS	Australia	2001	18.779	12.7	59.3181729429988	3.50219780997615	1.22915782703786	3.15009827785949	22.1842196535883	17.1286333519909	98.0530884338196	19527.3235767954	23.670519617489	6.1	3.16155509722017	8.37100028991699	6.74	22.0981476107222
Australia - 2002	AUS	Australia	2002	18.922	12.8	58.1856995951733	3.94915687175001	1.2130317496714	3.08956952995848	20.7504443612117	17.0991109433373	95.8902147872363	20117.7888912664	23.6371047898367	6	2.71699519048018	8.73950004577637	6.37	20.7462091985087
